@relation student_summarization
@attribute course real
@attribute n_assignment real
@attribute n_posts real
@attribute n_read real
@attribute n_quiz real
@attribute n_quiz_a real
@attribute n_quiz_s real
@attribute total_time_assignment real
@attribute total_time_quiz real
@attribute total_time_forum real
@attribute mark
@data
46,0,0,0,0,0,0,0,4,0,PASS
46,0,1,0,5,5,0,0,11422,1956,PASS
46,0,1,0,4,4,0,0,7320,1474,FAIL
46,0,1,0,5,5,0,0,9863,0,EXCELLENT
46,0,0,0,4,4,0,0,5626,343,EXCELLENT
46,0,0,0,1,1,0,0,812,0,PASS
46,0,0,0,5,2,3,0,1712,234,PASS
46,0,1,0,5,5,0,0,9162,0,GOOD
46,0,0,0,0,0,0,0,346,2364,FAIL
94,0,0,4,0,0,0,0,126,688,FAIL
94,0,0,4,0,0,0,0,203,961,FAIL
94,2,0,0,1,1,0,0,333,527,GOOD
94,0,2,4,0,0,0,0,0,478,FAIL
94,2,0,4,2,2,0,120,497,262,EXCELLENT
94,1,0,4,5,3,2,7,2338,394,FAIL
94,2,4,4,5,5,0,544,2090,4370,EXCELLENT
94,1,0,4,1,0,1,0,523,182,FAIL
94,2,0,4,3,3,0,21,1633,66,PASS
94,2,0,4,3,1,2,65,1248,308,PASS
94,2,1,4,4,4,0,120,951,0,GOOD
94,1,0,4,1,0,1,217,717,0,FAIL
94,2,0,4,3,3,0,178,1071,504,PASS
94,0,6,4,9,6,3,0,1774,5518,FAIL
94,2,0,4,13,13,0,605,2754,667,FAIL
94,2,0,4,4,4,0,266,1543,585,FAIL
94,2,0,4,8,7,1,120,1747,125,GOOD
94,2,0,4,2,2,0,26,768,0,FAIL
94,2,1,4,15,15,0,15,2497,2822,FAIL
94,2,0,4,2,0,2,120,1330,0,FAIL
94,2,0,4,5,4,1,9,1059,178,PASS
94,0,1,4,0,0,0,0,126,2821,FAIL
94,2,0,4,3,3,0,0,1096,665,PASS
94,1,0,4,7,7,0,0,1473,186,PASS
94,2,0,4,16,16,0,185,2428,63,EXCELLENT
94,2,0,4,3,3,0,261,932,1059,GOOD
94,2,0,4,6,6,0,73,1394,445,PASS
94,0,1,4,0,0,0,0,8,466,FAIL
94,2,0,4,6,6,0,120,1324,496,GOOD
94,2,0,4,3,3,0,9,0,0,FAIL
94,2,1,4,18,18,0,121,4148,504,EXCELLENT
94,1,0,4,4,3,1,0,938,2374,FAIL
94,0,0,4,0,0,0,120,358,2748,PASS
94,2,0,4,1,0,1,182,274,925,PASS
94,1,0,4,2,1,1,601,1024,1171,FAIL
94,2,0,4,3,2,1,120,1026,515,PASS
94,2,0,4,3,3,0,5,925,1301,FAIL
94,2,0,4,4,3,1,29,698,136,PASS
94,2,0,4,10,10,0,120,1992,23,GOOD
94,2,0,4,3,3,0,120,854,422,PASS
94,2,0,4,0,0,0,120,316,333,PASS
94,1,0,4,3,1,2,0,610,540,PASS
94,2,0,4,10,10,0,52,2837,100,GOOD
94,2,0,4,7,7,0,120,1404,33,GOOD
94,0,0,4,4,4,0,9,1346,198,FAIL
94,2,0,4,1,0,1,120,786,0,PASS
94,2,2,4,5,5,0,240,1353,1608,FAIL
94,2,0,4,12,11,1,120,2233,699,GOOD
94,2,0,4,5,5,0,240,1262,524,FAIL
94,0,0,4,6,4,2,0,733,284,FAIL
94,2,0,4,14,14,0,120,2245,255,EXCELLENT
94,1,0,4,3,3,0,0,990,1045,FAIL
94,2,1,4,12,12,0,9,1999,1179,PASS
94,1,0,4,1,0,1,120,852,0,FAIL
94,0,0,4,0,0,0,0,208,120,FAIL
94,1,0,4,3,3,0,66,980,692,PASS
94,1,0,4,3,3,0,0,998,29,FAIL
94,1,0,4,3,2,1,0,1231,1701,FAIL
94,2,0,4,3,3,0,120,1256,985,GOOD
94,0,0,4,0,0,0,0,131,21,FAIL
94,1,0,4,6,6,0,248,1408,81,PASS
94,2,0,4,3,3,0,120,1245,327,GOOD
94,1,0,4,13,12,1,240,1860,375,FAIL
94,1,0,4,2,2,0,0,643,148,PASS
94,1,0,4,2,1,1,0,867,0,PASS
94,1,0,4,6,6,0,0,1064,87,PASS
218,10,1,0,1,1,0,415,0,1417,PASS
218,0,0,0,2,2,0,0,641,1032,FAIL
218,11,1,0,7,5,2,890,4667,5414,PASS
218,0,1,0,0,0,0,0,360,1120,FAIL
218,11,1,0,5,4,1,1913,2257,1299,FAIL
218,11,0,0,4,4,0,1464,1066,921,FAIL
218,0,1,0,2,2,0,0,504,865,FAIL
218,10,1,0,6,5,1,831,1574,1828,PASS
218,0,0,0,0,0,0,0,129,0,FAIL
218,11,2,0,7,7,0,764,1687,2123,FAIL
218,11,1,0,8,7,1,503,4735,4413,PASS
218,10,0,0,2,2,0,870,1237,100,FAIL
218,10,0,0,6,5,1,332,1996,721,PASS
218,0,0,0,2,2,0,0,586,6,FAIL
218,11,1,0,5,5,0,721,1996,269,GOOD
218,10,0,0,3,2,1,159,2404,1717,FAIL
218,11,0,0,5,3,2,250,3186,0,GOOD
218,0,3,0,6,5,1,0,2040,6049,FAIL
218,11,2,0,6,6,0,533,2215,3215,PASS
218,11,0,0,3,3,0,809,0,1137,FAIL
218,11,1,0,9,6,3,1436,4588,6243,FAIL
218,0,0,0,0,0,0,0,213,0,PASS
218,0,0,0,0,0,0,0,0,0,FAIL
218,11,1,0,3,3,0,236,1212,1070,GOOD
218,0,0,0,0,0,0,0,319,1139,FAIL
218,9,0,0,0,0,0,217,0,455,FAIL
218,0,0,0,3,2,1,120,1864,1114,FAIL
218,11,1,0,9,9,0,643,2433,1567,FAIL
218,11,1,0,9,8,1,62,3134,1778,GOOD
218,0,0,0,2,1,1,0,1932,0,FAIL
218,0,0,0,0,0,0,0,0,155,FAIL
218,10,2,0,6,6,0,1272,2493,0,FAIL
218,10,1,0,3,3,0,292,1098,367,PASS
218,11,0,0,6,5,1,966,2282,1036,FAIL
218,11,0,0,5,5,0,2160,2566,1198,FAIL
218,11,0,0,4,3,1,332,1330,568,PASS
218,11,1,0,8,8,0,987,2606,0,PASS
218,10,0,0,2,2,0,599,700,2180,FAIL
218,11,0,0,4,4,0,294,1345,909,GOOD
218,0,4,0,6,5,1,0,2237,2800,FAIL
218,0,0,0,4,4,0,0,2422,2671,FAIL
218,10,1,0,5,4,1,212,1537,2149,FAIL
218,0,0,0,0,0,0,0,0,307,FAIL
218,7,2,0,0,0,0,1162,251,524,FAIL
218,11,0,0,9,9,0,294,2449,314,PASS
218,0,0,0,0,0,0,0,392,449,FAIL
218,10,2,0,3,2,1,675,2030,3541,FAIL
218,11,2,0,4,3,1,794,1345,3091,FAIL
218,11,0,0,7,6,1,264,2469,2010,PASS
218,10,0,0,6,6,0,504,1692,4,PASS
218,11,0,0,2,2,0,535,1191,1461,FAIL
218,0,0,0,0,0,0,0,352,863,FAIL
218,11,6,0,6,6,0,398,2049,3042,GOOD
218,0,0,0,0,0,0,0,133,201,FAIL
218,10,0,0,5,1,4,130,1870,107,FAIL
218,11,1,0,7,7,0,587,1843,2859,GOOD
218,11,1,0,7,6,1,1213,3118,0,PASS
218,11,0,0,8,5,3,659,2141,844,FAIL
218,0,0,0,4,3,1,212,1279,660,FAIL
218,10,0,0,2,2,0,338,601,937,FAIL
218,11,3,0,9,7,2,374,4601,4826,FAIL
218,11,0,0,5,1,4,754,0,1378,FAIL
218,0,0,0,1,0,1,0,770,258,FAIL
218,9,0,0,0,0,0,856,203,1365,FAIL
218,0,0,0,0,0,0,0,34,633,FAIL
218,11,0,0,4,4,0,787,1255,1636,FAIL
218,0,0,0,1,0,1,0,684,243,FAIL
218,10,0,0,1,1,0,828,229,255,FAIL
218,10,1,0,3,2,1,332,1897,2144,FAIL
218,0,0,0,4,2,2,0,3126,480,FAIL
218,11,1,0,7,7,0,259,2324,1982,PASS
218,11,0,0,2,1,1,424,1623,2279,PASS
218,11,0,0,3,3,0,2035,1399,693,FAIL
218,0,2,0,0,0,0,0,0,998,PASS
218,11,1,0,7,7,0,337,2496,2214,PASS
218,10,0,0,6,6,0,416,2104,1494,FAIL
218,11,0,0,5,5,0,1612,2003,1218,FAIL
218,0,0,0,0,0,0,84,354,1306,FAIL
218,10,0,0,5,3,2,750,2162,950,PASS
218,11,1,0,7,6,1,217,2713,0,FAIL
